campaign_id,campaign_name,channel,funnel_stage,spend,impressions,clicks,conversions,new_customers,revenue,gross_profit,ctr,conversion_rate,cpc,cpa,cac,roas,roi,net_profit_after_marketing,recommendation,decision_reason
C001,Google Search - High Intent,Google Search,Conversion,257045.61,9133614,432428,39946.8,35212.6,3827711.79,2220072.87,0.047,0.092,0.594,6.435,7.3,14.891,7.637,1963027.26,Scale,Strong ROI and efficient customer acquisition.
C002,Google Shopping - Best Sellers,Google Shopping,Conversion,210339.63,8751141,315267,22170.0,18314.9,1954539.04,1074996.55,0.036,0.07,0.667,9.488,11.485,9.292,4.111,864656.92,Scale,Strong ROI and efficient customer acquisition.
C003,Facebook Retargeting,Facebook,Retargeting,149765.52,8337213,251655,14649.3,9137.9,1201722.28,672964.47,0.03,0.058,0.595,10.223,16.389,8.024,3.493,523198.95,Scale,Strong ROI and efficient customer acquisition.
C004,Facebook Prospecting - Broad,Facebook,Awareness,228808.49,16254034,308312,8187.6,7459.9,625934.72,331745.44,0.019,0.027,0.742,27.946,30.672,2.736,0.45,102936.95,Reduce / Test New Creative,"Weak efficiency; lower budget until creative, audience, or offer improves."
C005,Instagram Creator Ads,Instagram,Consideration,164709.53,10430315,175781,3633.9,3171.4,260782.12,135606.72,0.017,0.021,0.937,45.326,51.936,1.583,-0.177,-29102.81,Stop,Negative ROI or CAC is too high to justify continued spend.
C006,TikTok Video Views,TikTok,Awareness,139874.95,13928011,337133,4164.0,3920.1,274372.22,137186.06,0.024,0.012,0.415,33.591,35.681,1.962,-0.019,-2688.89,Stop,Negative ROI or CAC is too high to justify continued spend.
C007,Email Winback,Email,Retention,33166.77,8271346,724523,90193.6,16176.0,6668012.52,4067487.67,0.088,0.124,0.046,0.368,2.05,201.045,121.637,4034320.9,Scale,Strong ROI and efficient customer acquisition.
C008,Affiliate Partner Deals,Affiliate,Conversion,95152.67,7960592,326654,27949.2,21305.6,2351868.36,1270008.93,0.041,0.086,0.291,3.404,4.466,24.717,12.347,1174856.26,Scale,Strong ROI and efficient customer acquisition.
C009,LinkedIn B2B Trial Push,LinkedIn,Experiment,180482.97,4324890,47450,886.4,850.8,99812.93,56893.37,0.011,0.019,3.804,203.613,212.133,0.553,-0.685,-123589.6,Stop,Negative ROI or CAC is too high to justify continued spend.
C010,Instagram Story Sale,Instagram,Promotion,117548.22,7787668,163786,5335.2,4254.3,363663.94,181832.04,0.021,0.033,0.718,22.033,27.63,3.094,0.547,64283.82,Scale,Strong ROI and efficient customer acquisition.
